name,img_width,img_hieght,total_train,num_class,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,model_params_1,model_params_2,target
kmnist-vgg16-resnet34,224,224,60000,10,-1.9939854008881501,-0.7345709182680762,2.0366382766683677,-0.1791831309270826,0.48238369857042507,-2.858257142219643,-2.2526971914594727,1.7734286831151351,-0.7550453625957573,-0.024865235992373568,-3.1395635018507715,-2.693072638674579,0.7595957430039987,-1.032244042421513,-0.39312983459895545,134301514,21289802,0
kmnist-vgg16-mnasnet1_0,224,224,60000,10,-1.9939854008881501,-0.7345709182680762,2.0366382766683677,-0.1791831309270826,0.48238369857042507,-2.858257142219643,-2.2526971914594727,1.7734286831151351,-0.7550453625957573,-0.024865235992373568,-3.1395635018507715,-2.693072638674579,0.7595957430039987,-1.032244042421513,-0.39312983459895545,134301514,3115122,0
kmnist-vgg16-shufflenet_v2_x0_5,224,224,60000,10,-1.9939854008881501,-0.7345709182680762,2.0366382766683677,-0.1791831309270826,0.48238369857042507,-2.858257142219643,-2.2526971914594727,1.7734286831151351,-0.7550453625957573,-0.024865235992373568,-3.1395635018507715,-2.693072638674579,0.7595957430039987,-1.032244042421513,-0.39312983459895545,134301514,1366792,0
kmnist-vgg16-mobilenet_v2,224,224,60000,10,-1.9939854008881501,-0.7345709182680762,2.0366382766683677,-0.1791831309270826,0.48238369857042507,-2.858257142219643,-2.2526971914594727,1.7734286831151351,-0.7550453625957573,-0.024865235992373568,-3.1395635018507715,-2.693072638674579,0.7595957430039987,-1.032244042421513,-0.39312983459895545,134301514,2236682,0
kmnist-vgg16-mnasnet0_5,224,224,60000,10,-1.9939854008881501,-0.7345709182680762,2.0366382766683677,-0.1791831309270826,0.48238369857042507,-2.858257142219643,-2.2526971914594727,1.7734286831151351,-0.7550453625957573,-0.024865235992373568,-3.1395635018507715,-2.693072638674579,0.7595957430039987,-1.032244042421513,-0.39312983459895545,134301514,952634,0
kmnist-vgg16-resnet18,224,224,60000,10,-1.9939854008881501,-0.7345709182680762,2.0366382766683677,-0.1791831309270826,0.48238369857042507,-2.858257142219643,-2.2526971914594727,1.7734286831151351,-0.7550453625957573,-0.024865235992373568,-3.1395635018507715,-2.693072638674579,0.7595957430039987,-1.032244042421513,-0.39312983459895545,134301514,11181642,0
kmnist-vgg16-alexnet,224,224,60000,10,-1.9939854008881501,-0.7345709182680762,2.0366382766683677,-0.1791831309270826,0.48238369857042507,-2.858257142219643,-2.2526971914594727,1.7734286831151351,-0.7550453625957573,-0.024865235992373568,-3.1395635018507715,-2.693072638674579,0.7595957430039987,-1.032244042421513,-0.39312983459895545,134301514,57044810,0
kmnist-resnet34-vgg16,224,224,60000,10,-1.9939854008881501,-0.7345709182680762,2.0366382766683677,-0.1791831309270826,0.48238369857042507,-2.858257142219643,-2.2526971914594727,1.7734286831151351,-0.7550453625957573,-0.024865235992373568,-3.1395635018507715,-2.693072638674579,0.7595957430039987,-1.032244042421513,-0.39312983459895545,21289802,134301514,1
kmnist-resnet34-mnasnet1_0,224,224,60000,10,-1.9939854008881501,-0.7345709182680762,2.0366382766683677,-0.1791831309270826,0.48238369857042507,-2.858257142219643,-2.2526971914594727,1.7734286831151351,-0.7550453625957573,-0.024865235992373568,-3.1395635018507715,-2.693072638674579,0.7595957430039987,-1.032244042421513,-0.39312983459895545,21289802,3115122,1
kmnist-resnet34-shufflenet_v2_x0_5,224,224,60000,10,-1.9939854008881501,-0.7345709182680762,2.0366382766683677,-0.1791831309270826,0.48238369857042507,-2.858257142219643,-2.2526971914594727,1.7734286831151351,-0.7550453625957573,-0.024865235992373568,-3.1395635018507715,-2.693072638674579,0.7595957430039987,-1.032244042421513,-0.39312983459895545,21289802,1366792,1
